Rang,nom,suffrages,sigle,parti,elu,sexe
453,DURAKU Fitore,6179,EAG,ENSEMBLE À GAUCHE,0,1
454,MAILLEFER Denise,6168,EAG,ENSEMBLE À GAUCHE,0,1
455,CAMELO Alfredo,6158,EAG,ENSEMBLE À GAUCHE,0,0
456,BLANCO Luis,6147,EAG,ENSEMBLE À GAUCHE,0,0
457,ECUYER Sébastien,6146,EAG,ENSEMBLE À GAUCHE,0,0
458,SALM DARBOE Karijn,6131,EAG,ENSEMBLE À GAUCHE,0,1
459,THOMAS Sébastien,6130,UDC,UDC,0,0
460,BOUZID Mohamed,6126,EAG,ENSEMBLE À GAUCHE,0,0
461,MISSOH DZIKUNOO Massan,6119,EAG,ENSEMBLE À GAUCHE,0,1
462,PERRENOUD Philippe,6112,UDC,UDC,0,0
463,BERTINAT Marie-Agnès,6102,UDC,UDC,0,1
464,SCHERB Peter (Pierre),6100,UDC,UDC,0,0
465,GERARDO FÉLIZ GRUBI Ynes,6098,EAG,ENSEMBLE À GAUCHE,0,1
466,MASÉ Zora,6078,UDC,UDC,0,1
467,BISOL Walter,6070,UDC,UDC,0,0
468,VELEN François,6064,UDC,UDC,0,0
469,GUINCHARD Damien,6052,UDC,UDC,0,0
470,LAPORTE Claude,6052,UDC,UDC,0,0
471,KNÖRR Stephen,6050,UDC,UDC,0,0
472,GUEVARA Francisco,6042,EAG,ENSEMBLE À GAUCHE,0,0
473,RUBELI Pascal,6038,UDC,UDC,0,0
474,ZEHFUS Yves,6038,EAG,ENSEMBLE À GAUCHE,0,0
475,MARTI Werner,6035,EAG,ENSEMBLE À GAUCHE,0,0
