elu,sigle,parti,ordre,suffrages,id,liste_id,nom,photoUrl,sexe
0,MCG,MCG,86,6735,10583,111,SAUSER Nicolas,SAUSER_Nicolas.jpg,0
0,MCG,MCG,88,6733,10581,111,DUSSAN Julien,DUSSAN_Julien.jpg,0
0,MCG,MCG,88,6733,10584,111,RYSER Alain,RYSER_Alain.jpg,0
0,MCG,MCG,90,6725,10578,111,BISSAT Rose (Marie Angeline),BISSAT_Rose.jpg,1
0,MCG,MCG,90,6725,10574,111,SPAGNOLO Salvatore,SPAGNOLO_Salvatore.jpg,0
0,MCG,MCG,92,6721,10577,111,BEUN Christine (Kristine),BEUN_Christine.jpg,1
0,MCG,MCG,93,6718,10585,111,MONNEY Armand,MONNEY_Armand.jpg,0
0,MCG,MCG,94,6712,10575,111,PIERRE TOUSSAINT Sircee,PIERRE_TOUSSAINT_Sircee.jpg,1
0,EAG,ENSEMBLE À GAUCHE,22,6707,10042,101,PREZIOSO BATOU Stefania,PREZIOSO_BATOU_Stefania.jpg,1
0,MCG,MCG,95,6706,10571,111,DE OLIVEIRA NUNES Vitor,DE_OLIVEIRA_NUNES_Vitor.jpg,0
0,MCG,MCG,96,6687,10539,111,BARRY Minkailou,BARRY_Minkailou.jpg,0
1,UDC,UDC,5,6679,10352,106,FLOREY Stéphane,FLOREY_Stephane.jpg,0
1,UDC,UDC,6,6662,10355,106,LUSSI Patrick,LUSSI_Patrick.jpg,0
0,MCG,MCG,97,6656,10557,111,AHDAB Ahmad (Chawki),AHDAB_Ahmad.jpg,0
0,MCG,MCG,98,6654,10561,111,DRASKOVIC Rada,DRASKOVIC_Rada.jpg,1
0,MCG,MCG,99,6633,10565,111,GHARBI Mohamed,GHARBI_Mohamed.jpg,0
0,MCG,MCG,100,6631,10570,111,BEN CHAABANE Salah,BEN_CHAABANE_Salah.jpg,0
0,EAG,ENSEMBLE À GAUCHE,23,6607,10024,101,OSSMANN Sekna,OSSMANN_Sekna.jpg,1
0,EAG,ENSEMBLE À GAUCHE,24,6589,10021,101,JELK Andrée (JELK-PEILA),JELK_Andree.jpg,1
0,EAG,ENSEMBLE À GAUCHE,25,6513,10059,101,BAILAT Ariane,BAILAT_Ariane.jpg,1
0,EAG,ENSEMBLE À GAUCHE,26,6511,10020,101,ENILINE Alexander,ENILINE_Alexander.jpg,0
0,EAG,ENSEMBLE À GAUCHE,27,6504,10029,101,JIMENEZ Jean-Daniel,JIMENEZ_Jean-Daniel.jpg,0
1,UDC,UDC,7,6488,10357,106,FALQUET Marc,FALQUET_Marc.jpg,0
0,EAG,ENSEMBLE À GAUCHE,28,6488,10073,101,CASTRO Gloria,CASTRO_Gloria.jpg,1
0,EAG,ENSEMBLE À GAUCHE,29,6481,10034,101,ZAUGG Daniel,ZAUGG_Daniel.jpg,0
0,EAG,ENSEMBLE À GAUCHE,30,6464,10023,101,ISSOM David-Zacharie,ISSOM_David-Zacharie.jpg,0
0,EAG,ENSEMBLE À GAUCHE,31,6457,10026,101,JANUZI Bashkim,JANUZI_Bashkim.jpg,0
0,EAG,ENSEMBLE À GAUCHE,32,6443,10061,101,ZAUGG Cecilia,ZAUGG_Cecilia.jpg,1
1,UDC,UDC,8,6428,10354,106,FUHRMANN Marc,FUHRMANN_Marc.jpg,0
0,EAG,ENSEMBLE À GAUCHE,33,6423,10056,101,ZBINDEN Livia,ZBINDEN_Livia.jpg,1
0,EAG,ENSEMBLE À GAUCHE,34,6416,10078,101,FERREIRA Elisabeth,FERREIRA_Elisabeth.jpg,1
0,EAG,ENSEMBLE À GAUCHE,35,6412,10044,101,LANGFORD Pia,LANGFORD_Pia.jpg,1
0,EAG,ENSEMBLE À GAUCHE,36,6404,10045,101,VINCENT Michel,VINCENT_Michel.jpg,0
0,EAG,ENSEMBLE À GAUCHE,37,6403,10032,101,MANRÍQUEZ Matías,MANRIQUEZ_Matias.jpg,0
0,EAG,ENSEMBLE À GAUCHE,38,6387,10046,101,RUMPCZYK Delphine,RUMPCZYK_Delphine.jpg,1
0,UDC,UDC,9,6384,10359,106,PFEFFER André,PFEFFER_Andre.jpg,0
0,EAG,ENSEMBLE À GAUCHE,39,6365,10064,101,KHAOUCHI Corinne,KHAOUCHI_Corinne.jpg,1
0,EAG,ENSEMBLE À GAUCHE,40,6363,10048,101,ANDENMATTEN David,ANDENMATTEN_David.jpg,0
0,EAG,ENSEMBLE À GAUCHE,41,6347,10068,101,DE MELO MARCELINO Amélia,DE_MELO_MARCELINO_Amelia.jpg,1
0,EAG,ENSEMBLE À GAUCHE,42,6344,10483,101,CARLO Xavier,CARLO_Xavier.jpg,0
0,UDC,UDC,10,6343,10361,106,HULLIGER Patrick,HULLIGER_Patrick.jpg,0
0,EAG,ENSEMBLE À GAUCHE,43,6321,10062,101,BLANCHET Marjo,BLANCHET_Marjo.jpg,1
0,EAG,ENSEMBLE À GAUCHE,44,6297,10052,101,STEBLER GUENAT Henriette,STEBLER_GUENAT_Henriette.jpg,1
0,UDC,UDC,11,6288,10358,106,MAENDLY Norbert,MAENDLY_Norbert.jpg,0
0,EAG,ENSEMBLE À GAUCHE,45,6269,10043,101,ESAKI KABEYA Elisabeth,ESAKI_KABEYA_Elisabeth.jpg,1
